"Name","Price","Image","Screen","CPU","RAM","Graphics","OS","Weight","Link"
"Lenovo YOGA 530 14IKB i5 8250U (81EK00MEVN)","14.990.000₫","https://cdn.tgdd.vn/Products/Images/44/195077/lenovo-yoga-530-14ikb-i5-8250u-4g-128gb-win10-81e-33397-thumb11-600x600.jpg","Màn hình: 14 inch, HD","CPU: i5 8250U, 1.6 GHz","RAM: 4 GB, Ổ cứng: SSD 128GB","Đồ họa: Intel® HD Graphics 620","HĐH: Windows 10, Không DVD","Nặng 1.67 Kg, PIN 4 cell","https://www.thegioididong.com/laptop/lenovo-yoga-530-14ikb-i5-8250u-4g-128gb-win10-81e"
"Lenovo Yoga 520 14IKBR i5 8250U (81C80088VN)","15.190.000₫","https://cdn.tgdd.vn/Products/Images/44/139282/lenovo-yoga-520-14ikbr-i5-8250u-4gb-1tb-win10-81c-450-450x300.jpg","Màn hình: 14 inch, FHD","CPU: i5-8250U, 1.6 GHz","RAM: 4 GB, Ổ cứng HDD: 1 TB","Đồ họa: Intel UHD Graphics 620","HĐH: Windows 10, DVD: Không ","Nặng 1.7 kg, PIN 2 cell","https://www.thegioididong.com/laptop/lenovo-yoga-520-14ikbr-i5-8250u-81c80088vn"
"Lenovo IdeaPad 320 15IKBN i7 8550U (81BG00E1VN)","16.990.000₫","https://cdn.tgdd.vn/Products/Images/44/139339/lenovo-ideapad-320-15ikbn-i7-8550u-81bg00e1vn-dai-dien-450x300.jpg","Màn hình: 15.6 inch, FHD","CPU: i7-8550U, 1.8GHz","RAM: 4GB, Ổ cứng: HDD 1TB","Đồ họa: NVIDIA MX150, 2GB","HĐH: Windows 10, DVD: Không","Nặng 1.9 kg, PIN 2 cell","https://www.thegioididong.com/laptop/lenovo-ideapad-320-15ikbn-i7-8550u-81bg00e1vn"
"Lenovo Ideapad 530S 14IKB i7 8550U (81EU00P5VN)","20.990.000₫","https://cdn.tgdd.vn/Products/Images/44/198795/lenovo-ideapad-530s-14ikb-i7-8550u-8gb-256gb-win10-33397-thumb-600x600.jpg","Màn hình: 14 inch, Full HD","CPU: Core i7 Coffee Lake, 1.80 GHz","RAM: 8 GB, SSD: 256 GB, M.2 SATA3","Đồ họa: Intel® UHD Graphics 620","HĐH: Windows 10 Home SL","Nặng: 1.54 kg, Pin: 3 cell","https://www.thegioididong.com/laptop/lenovo-ideapad-530s-14ikb-i7-8550u-8gb-256gb-win10"
"Dell Vostro 3578 i7 8550U (NGMPF11)","20.990.000₫","https://cdn.tgdd.vn/Products/Images/44/166602/dell-vostro-3578-ngmpf11-450x300-600x600-600x600.jpg","Màn hình: 15.6 inch, FHD","CPU: i7-8550U, 1.8 GHz","RAM: 8GB, Ổ cứng HDD: 1 TB","Đồ họa: AMD 520, 2GB","HĐH: Windows 10, DVD: Có","Nặng 2.2 kg, PIN 4 cell","https://www.thegioididong.com/laptop/dell-vostro-3578-ngmpf11"
"Dell Inspiron 7373 i5 8250U (C3TI501OW)","26.990.000₫","https://cdn.tgdd.vn/Products/Images/44/136214/dell-inspiron-7373-i5-8250u-8gb-256gb-win10-office-450-600x600.jpg","Màn hình: 13.3 inch, FHD cảm ứng","CPU: i5-8250U, 1.60 GHz","RAM: 8GB, Ổ cứng SSD: 256GB","Đồ họa: Intel UHD Graphics 620","HĐH: Win10+Off365, Không DVD","Nặng 1.6 kg, PIN 3 cell","https://www.thegioididong.com/laptop/dell-inspiron-7373-i5-8250u-8gb-256gb-win10-office"
"Dell Inspiron 7373 i7 8550U (P83G001)","28.990.000₫","https://cdn.tgdd.vn/Products/Images/44/128922/dell-inspiron-7373-i7-8550u-8gb-256gb-win10-dai-dien-1-450x300.jpg","Màn hình: 13.3 inch, FHD","CPU: Core i7 Kabylake-R, 1.8GHz","RAM: 8GB, Ổ cứng SSD: 256GB","Đồ họa: Intel UHD Graphics 620","HĐH: Win10+Office365, Không DVD","Nặng 1.6 kg, PIN 3 cell","https://www.thegioididong.com/laptop/dell-inspiron-7373-i7-8550u-p83g001"
"HP Pavilion 15 cs1044TX i5 8265U","16.390.000₫","https://cdn.tgdd.vn/Products/Images/44/196983/hp-pavilion-15-cs1044tx-i5-8265u-4gb-1tb-2gb-mx130-thumb-33397-thumb-600x600.jpg","Màn hình: 15.6 inch, Full HD","CPU: Core i5 Coffee Lake, 1.60 GHz","RAM: 4 GB, HDD: 1 TB, Hỗ trợ khe cắm SSD M.2 PCIe","Đồ họa: NVIDIA MX130, 2GB","HĐH: Windows 10 Home SL","Nặng: 1.87 kg, Pin: 3 cell","https://www.thegioididong.com/laptop/hp-pavilion-15-cs1044tx-i5-8265u-4gb-1tb-2gb-mx130"
"HP Pavilion 14 ce1018TU i5 8265U (5RL41PA)","16.390.000₫","https://cdn.tgdd.vn/Products/Images/44/196907/hp-pavilion-14-ce1018tu-i5-8265u-4gb-16gb-1tb-14f-1-1-1-1-600x600.jpg","Màn hình: 14 inch, FHD","CPU: i5-8265U, 1.6 GHz","RAM: 4 GB, Ổ cứng HDD: 1 TB,intel Optane 16GB","Đồ họa: Intel HD Graphics 620","HĐH: Windows 10, DVD: không","Nặng 1.59 Kg, PIN 3 cell","https://www.thegioididong.com/laptop/hp-pavilion-14-ce1018tu-i5-8265u-4gb-16gb-1tb-14f"
"HP 15 da0036TX i7 8550U (4ME78PA)","17.490.000₫","https://cdn.tgdd.vn/Products/Images/44/181322/hp-15-da0036tx-4me78pa-cava-600x600.jpg","Màn hình: 15.6 inch, FHD","CPU: i7-8550U, 1.8GHz","RAM: 4GB, Ổ cứng HDD: 1TB","Đồ họa: NVIDIA MX130, 2GB","HĐH: Windows 10, DVD: Có","Nặng 2.1 kg, PIN 3 cell","https://www.thegioididong.com/laptop/hp-15-da0036tx-4me78pa"
"HP 15 da1033TX i7 8565U (5NK26PA)","17.890.000₫","https://cdn.tgdd.vn/Products/Images/44/195382/hp-15-da1033tx-i7-8565u-4gb-1tb-mx130-5nk26pa-33397-thumb-600x600.jpg","Màn hình: 15.6 inch, Full HD","CPU: Core i7 Coffee Lake, 1.80 GHz","RAM: 4 GB, HDD: 1 TB, Hỗ trợ khe cắm SSD M.2 PCIe","Đồ họa: NVIDIA MX130, 2GB","HĐH: Windows 10 Home SL","Nặng: 2.07 kg, Pin: 3 cell","https://www.thegioididong.com/laptop/hp-15-da1033tx-i7-8565u-4gb-1tb-mx130-5nk26pa"
"HP Envy 13 ah1011TU i5 8265U","22.490.000₫","https://cdn.tgdd.vn/Products/Images/44/196906/hp-envy-13-ah1011tu-i5-8265u-8gb-256gb-win10-5hz2-33397-thumb-600x600.jpg","Màn hình: 13.3 inch, Full HD","CPU: Core i5 Coffee Lake, 1.60 GHz","RAM: 8 GB, Ổ cứng SSD 256GB NVMe PCIe","Đồ họa: Intel® HD Graphics 620","HĐH: Windows 10 Home SL","Nặng 1.2 kg, PIN 4 cell","https://www.thegioididong.com/laptop/hp-envy-13-ah1011tu-i5-8265u-8gb-256gb-win10-5hz2"
"HP Envy 13 ah0027TU i7 8550U (4ME94PA)","26.990.000₫","https://cdn.tgdd.vn/Products/Images/44/169423/hp-envy-13-ah0027tu-4me94pa-14-600x600.jpg","Màn hình: 13.3 inch, FHD","CPU: i7-8550U, 1.8GHz","RAM: 8GB, Ổ cứng SSD: 256GB","Đồ họa: Intel UHD Graphics 620","HĐH: Windows 10, DVD: Không","Nặng 1.2 kg, PIN 4 cell","https://www.thegioididong.com/laptop/hp-envy-13-ah0027tu-4me94pa"
"Asus X507UF i5 8250U 4GB 1TB (EJ121T)","14.590.000₫","https://cdn.tgdd.vn/Products/Images/44/193516/asus-x507uf-i5-8250u-4gb-1tb-2gb-mx130-ej121t-thumb-1-600x600.jpg","Màn hình: 15.6 inch, Full HD","CPU: Core i5 Kabylake Refresh, 1.60 GHz","RAM: 4 GB, HDD: 1 TB SATA3, Hỗ trợ khe cắm SSD M.2 SATA3","Đồ họa: NVIDIA MX130, 2GB","HĐH: Windows 10 Home SL","Nặng: 1.8 kg, Pin: 3 cell","https://www.thegioididong.com/laptop/asus-x507uf-i5-8250u-4gb-1tb-2gb-mx130-ej121t"
"Asus VivoBook S15 S510UA i5 8250U (BQ414T)","15.490.000₫","https://cdn.tgdd.vn/Products/Images/44/135668/asus-s510ua-i5-8250u-bq414t-dai-dien-450x300-600x600.jpg","Màn hình: 15.6 inch, Full HD","CPU: i5 Kabylake Refresh, 1.60 GHz","RAM: 4 GB, Ổ cứng HDD: 1 TB","Đồ họa: UHD Graphics 620","HĐH: Windows 10, Không DVD","Nặng 1.5 kg, PIN 3 cell","https://www.thegioididong.com/laptop/asus-s510ua-i5-8250u-bq414t"
"Asus VivoBook S510UN i5 8250U (BQ276T)","16.790.000₫","https://cdn.tgdd.vn/Products/Images/44/195008/asus-s510un-i5-8250u-4gb-1tb-mx150-win10-bq276t-33397-thumb-600x600.jpg","Màn hình: 15.6 inch, Full HD","CPU: Core i5 Coffee Lake, 1.60 GHz","RAM: 4 GB, HDD: 1 TB SATA3, Hỗ trợ khe cắm SSD M.2 SATA3","Đồ họa: NVIDIA MX150, 2GB","HĐH: Windows 10 Home SL","Nặng: 1.62 kg, Pin: 3 cell","https://www.thegioididong.com/laptop/asus-s510un-i5-8250u-4gb-1tb-mx150-win10-bq276t"
"Asus Vivobook S15 S530UA i5 8250U (BQ290T)","17.390.000₫","https://cdn.tgdd.vn/Products/Images/44/193863/asus-s530ua-i5-8250u-4gb-16gb-1tb-win10-bq290t-33397-thumb333-600x600.jpg","Màn hình: 15.6 inch, FHD","CPU: i5-8250U, 1.6 GHz","RAM: 4GB, Ổ cứng HDD: 1 TB","Đồ họa: Intel UHD Graphics 620","HĐH: Windows 10","Nặng 1.8 kg, PIN 3 cell","https://www.thegioididong.com/laptop/asus-s530ua-i5-8250u-4gb-16gb-1tb-win10-bq290t"
"Asus FX504GE i5 8300H (E4138T)","22.490.000₫","https://cdn.tgdd.vn/Products/Images/44/197083/asus-fx504ge-i5-8300h-8gb-1tb-gtx1050ti-win10-e41-thumnb-600x600.jpg","Màn hình: 15.6 inch, Full HD","CPU: Core i5 Coffee Lake, 2.30 GHz","RAM: 8 GB, HDD: 1 TB, Hỗ trợ khe cắm SSD M.2 PCIe","Đồ họa: NVIDIA GeForce GTX 1050Ti, 4GB","HĐH: Windows 10 Home SL","Nặng: 2.30 kg, Pin: 4 cell","https://www.thegioididong.com/laptop/asus-fx504ge-i5-8300h-8gb-1tb-gtx1050ti-win10-e41"
"Asus ZenBook UX433FA i5 8265U (A6061T)","22.990.000₫","https://cdn.tgdd.vn/Products/Images/44/197561/asus-zenbook-ux433fa-i5-8265u-8gb-256gb-win10-a60-33397-thumb-600x600.jpg","Màn hình: 14 inch, Full HD","CPU: Core i5 Coffee Lake, 1.60 GHz","RAM: 8 GB, SSD 256GB NVMe PCIe","Đồ họa: Intel® UHD Graphics 620","HĐH: Windows 10 Home SL","Nặng: 1.19 kg, Pin: 3 cell","https://www.thegioididong.com/laptop/asus-zenbook-ux433fa-i5-8265u-8gb-256gb-win10-a60"
"Asus FX505GE i7 8750H (BQ037T)","27.990.000₫","https://cdn.tgdd.vn/Products/Images/44/197087/asus-fx505ge-i7-8750h-8gb-1tb-128gb-gtx1050ti-win1-thumb-600x600.jpg","Màn hình: 15.6 inch, Full HD","CPU: Core i7 Coffee Lake, 2.20 GHz","RAM: 8 GB, SSD 128GB M2 PCIe, HDD: 1 TB SATA3","Đồ họa: NVIDIA GeForce GTX 1050Ti, 4GB","HĐH: Windows 10 Home SL","Nặng: 2.2 kg, Pin: 3 cell","https://www.thegioididong.com/laptop/asus-fx505ge-i7-8750h-8gb-1tb-128gb-gtx1050ti-win1"
"Asus Zenbook UX433FA i7 8565U (A6076T)","27.990.000₫","https://cdn.tgdd.vn/Products/Images/44/197560/asus-zenbook-ux433fa-i7-8565u-8gb-512gb-win10-a60-33397-thumb-600x600.jpg","Màn hình: 14 inch, Full HD","CPU: Core i7 Coffee Lake, 1.80 GHz","RAM: 8 GB, SSD: 512 GB, M.2 PCIe","Đồ họa: Intel® UHD Graphics 620","HĐH: Windows 10 Home SL","Nặng: 1.19 kg, Pin: 3 cell","https://www.thegioididong.com/laptop/asus-zenbook-ux433fa-i7-8565u-8gb-512gb-win10-a60"
"Asus UX533FD i5 8265U (A9091T)","27.990.000₫","https://cdn.tgdd.vn/Products/Images/44/200052/asus-ux533fd-i5-8265u-8gb-256gb-2gb-gtx1050-156f-c-thumb-2-600x600.jpg","Màn hình: 15.6 inch, Full HD","CPU: Core i5 Coffee Lake, 1.60 GHz","RAM: 8 GB, SSD 256GB NVMe PCIe","Đồ họa: NVIDIA GeForce GTX 1050, 2 GB","HĐH: Windows 10 Home SL","Nặng: 1.6 kg, Pin: 4 cell","https://www.thegioididong.com/laptop/asus-ux533fd-i5-8265u-8gb-256gb-2gb-gtx1050-156f-c"
